0.0001 0.0353616  1.67699e-05 2.73736e-06
0.0002 0.0352756  3.07714e-05 2.72835e-06
0.0003 0.0351886  4.38244e-05 2.71934e-06
0.0004 0.0351011  5.63178e-05 2.71034e-06
0.0005 0.0350132  6.843e-05 2.70132e-06
0.0006 0.034925  8.02627e-05 2.69231e-06
0.0007 0.0348367  9.18815e-05 2.68329e-06
0.0008 0.0347481  0.000103331 2.67428e-06
0.0009 0.0346594  0.000114646 2.66526e-06
0.001 0.0345706  0.00012585 2.65625e-06
0.0011 0.0344817  0.000136963 2.64723e-06
0.0012 0.0343927  0.000148001 2.63822e-06
0.0013 0.0343037  0.000158977 2.62921e-06
0.0014 0.0342146  0.000169902 2.62019e-06
0.0015 0.0341255  0.000180785 2.61118e-06
0.0016 0.0340363  0.000191633 2.60217e-06
0.0017 0.0339471  0.000202454 2.59316e-06
0.0018 0.0338579  0.000213253 2.58415e-06
0.0019 0.0337687  0.000224036 2.57515e-06
0.002 0.0336795  0.000234807 2.56614e-06
0.0021 0.0335902  0.000245569 2.55713e-06
0.0022 0.033501  0.000256328 2.54813e-06
0.0023 0.0334117  0.000267086 2.53913e-06
0.0024 0.0333225  0.000277846 2.53012e-06
0.0025 0.0332332  0.000288612 2.52111e-06
0.0026 0.033144  0.000299385 2.5121e-06
0.0027 0.0330548  0.000310168 2.50308e-06
0.0028 0.0329655  0.000320963 2.49407e-06
0.0029 0.0328763  0.000331772 2.48506e-06
0.003 0.0327872  0.000342597 2.47605e-06
0.0031 0.032698  0.00035344 2.46704e-06
0.0032 0.0326088  0.000364303 2.45803e-06
0.0033 0.0325197  0.000375186 2.44902e-06
0.0034 0.0324306  0.000386093 2.44001e-06
0.0035 0.0323415  0.000397023 2.43099e-06
0.0036 0.0322525  0.000407978 2.42198e-06
0.0037 0.0321635  0.00041896 2.41297e-06
0.0038 0.0320745  0.000429969 2.40396e-06
0.0039 0.0319855  0.000441008 2.39495e-06
0.004 0.0318966  0.000452076 2.38594e-06
0.0041 0.0318076  0.000463176 2.37693e-06
0.0042 0.0317188  0.000474308 2.36792e-06
0.0043 0.0316299  0.000485472 2.3589e-06
0.0044 0.0315411  0.000496671 2.34989e-06
0.0045 0.0314523  0.000507905 2.34088e-06
0.0046 0.0313636  0.000519174 2.33187e-06
0.0047 0.0312749  0.00053048 2.32286e-06
0.0048 0.0311862  0.000541824 2.31385e-06
0.0049 0.0310976  0.000553206 2.30484e-06
0.005 0.031009  0.000564628 2.29583e-06
0.0051 0.0309205  0.000576089 2.28681e-06
0.0052 0.030832  0.000587591 2.2778e-06
0.0053 0.0307435  0.000599135 2.26879e-06
0.0054 0.0306551  0.000610721 2.25978e-06
0.0055 0.0305667  0.00062235 2.25077e-06
0.0056 0.0304784  0.000634022 2.24176e-06
0.0057 0.0303901  0.000645739 2.23275e-06
0.0058 0.0303018  0.000657501 2.22374e-06
0.0059 0.0302136  0.000669309 2.21472e-06
0.006 0.0301255  0.000681163 2.20571e-06
0.0061 0.0300373  0.000693064 2.1967e-06
0.0062 0.0299493  0.000705013 2.18769e-06
0.0063 0.0298613  0.000717011 2.17868e-06
0.0064 0.0297733  0.000729058 2.16967e-06
0.0065 0.0296854  0.000741154 2.16066e-06
0.0066 0.0295975  0.000753301 2.15165e-06
0.0067 0.0295097  0.000765498 2.14264e-06
0.0068 0.029422  0.000777748 2.13362e-06
0.0069 0.0293343  0.000790049 2.12461e-06
0.007 0.0292466  0.000802403 2.1156e-06
0.0071 0.029159  0.000814811 2.10659e-06
0.0072 0.0290715  0.000827273 2.09758e-06
0.0073 0.028984  0.00083979 2.08857e-06
0.0074 0.0288965  0.000852362 2.07956e-06
0.0075 0.0288091  0.000864989 2.07055e-06
0.0076 0.0287218  0.000877674 2.06154e-06
0.0077 0.0286346  0.000890415 2.05252e-06
0.0078 0.0285473  0.000903214 2.04351e-06
0.0079 0.0284602  0.000916072 2.0345e-06
0.008 0.0283731  0.000928988 2.02549e-06
0.0081 0.0282861  0.000941964 2.01648e-06
0.0082 0.0281991  0.000955 2.00747e-06
0.0083 0.0281122  0.000968097 1.99846e-06
0.0084 0.0280253  0.000981256 1.98945e-06
0.0085 0.0279385  0.000994476 1.98044e-06
0.0086 0.0278518  0.00100776 1.97143e-06
0.0087 0.0277652  0.0010211 1.96241e-06
0.0088 0.0276786  0.00103451 1.9534e-06
0.0089 0.027592  0.00104799 1.94439e-06
0.009 0.0275056  0.00106153 1.93538e-06
0.0091 0.0274191  0.00107513 1.92637e-06
0.0092 0.0273328  0.0010888 1.91736e-06
0.0093 0.0272465  0.00110254 1.90835e-06
0.0094 0.0271603  0.00111635 1.89934e-06
0.0095 0.0270742  0.00113022 1.89033e-06
0.0096 0.0269881  0.00114416 1.88132e-06
0.0097 0.0269021  0.00115818 1.8723e-06
0.0098 0.0268162  0.00117226 1.86329e-06
0.0099 0.0267304  0.00118641 1.85428e-06
0.01 0.0266446  0.00120064 1.84527e-06
0.0101 0.0265589  0.00121493 1.83626e-06
0.0102 0.0264732  0.0012293 1.82725e-06
0.0103 0.0263876  0.00124374 1.81824e-06
0.0104 0.0263022  0.00125826 1.80923e-06
0.0105 0.0262167  0.00127285 1.80022e-06
0.0106 0.0261314  0.00128751 1.79121e-06
0.0107 0.0260461  0.00130225 1.7822e-06
0.0108 0.0259609  0.00131707 1.77319e-06
0.0109 0.0258758  0.00133197 1.76417e-06
0.011 0.0257908  0.00134694 1.75516e-06
0.0111 0.0257058  0.00136199 1.74615e-06
0.0112 0.0256209  0.00137712 1.73714e-06
0.0113 0.0255361  0.00139233 1.72813e-06
0.0114 0.0254514  0.00140762 1.71912e-06
0.0115 0.0253668  0.00142299 1.71011e-06
0.0116 0.0252822  0.00143845 1.7011e-06
0.0117 0.0251978  0.00145399 1.69209e-06
0.0118 0.0251134  0.00146961 1.68308e-06
0.0119 0.0250291  0.00148531 1.67407e-06
0.012 0.0249449  0.0015011 1.66506e-06
0.0121 0.0248607  0.00151698 1.65604e-06
0.0122 0.0247767  0.00153294 1.64703e-06
0.0123 0.0246927  0.00154899 1.63802e-06
0.0124 0.0246088  0.00156512 1.62901e-06
0.0125 0.0245251  0.00158135 1.62e-06
0.0126 0.0244414  0.00159766 1.61099e-06
0.0127 0.0243578  0.00161407 1.60198e-06
0.0128 0.0242742  0.00163056 1.59297e-06
0.0129 0.0241908  0.00164715 1.58396e-06
0.013 0.0241075  0.00166383 1.57495e-06
0.0131 0.0240243  0.0016806 1.56594e-06
0.0132 0.0239411  0.00169747 1.55693e-06
0.0133 0.0238581  0.00171443 1.54792e-06
0.0134 0.0237751  0.00173148 1.5389e-06
0.0135 0.0236923  0.00174864 1.52989e-06
0.0136 0.0236095  0.00176589 1.52088e-06
0.0137 0.0235268  0.00178323 1.51187e-06
0.0138 0.0234443  0.00180068 1.50286e-06
0.0139 0.0233618  0.00181823 1.49385e-06
0.014 0.0232794  0.00183587 1.48484e-06
0.0141 0.0231972  0.00185362 1.47583e-06
0.0142 0.023115  0.00187147 1.46682e-06
0.0143 0.023033  0.00188942 1.45781e-06
0.0144 0.022951  0.00190748 1.4488e-06
0.0145 0.0228692  0.00192564 1.43979e-06
0.0146 0.0227874  0.00194391 1.43078e-06
0.0147 0.0227058  0.00196228 1.42177e-06
0.0148 0.0226243  0.00198076 1.41276e-06
0.0149 0.0225428  0.00199935 1.40374e-06
0.015 0.0224615  0.00201805 1.39473e-06
0.0151 0.0223803  0.00203686 1.38572e-06
0.0152 0.0222992  0.00205577 1.37671e-06
0.0153 0.0222183  0.0020748 1.3677e-06
0.0154 0.0221374  0.00209395 1.35869e-06
0.0155 0.0220566  0.00211321 1.34968e-06
0.0156 0.021976  0.00213258 1.34067e-06
0.0157 0.0218955  0.00215206 1.33166e-06
0.0158 0.0218151  0.00217167 1.32265e-06
0.0159 0.0217348  0.00219139 1.31364e-06
0.016 0.0216546  0.00221123 1.30463e-06
0.0161 0.0215746  0.00223119 1.29562e-06
0.0162 0.0214946  0.00225127 1.28661e-06
0.0163 0.0214148  0.00227147 1.2776e-06
0.0164 0.0213352  0.00229179 1.26859e-06
0.0165 0.0212556  0.00231224 1.25958e-06
0.0166 0.0211762  0.00233281 1.25057e-06
0.0167 0.0210968  0.00235351 1.24155e-06
0.0168 0.0210177  0.00237433 1.23254e-06
0.0169 0.0209386  0.00239528 1.22353e-06
0.017 0.0208597  0.00241636 1.21452e-06
0.0171 0.0207809  0.00243757 1.20551e-06
0.0172 0.0207022  0.00245891 1.1965e-06
0.0173 0.0206237  0.00248038 1.18749e-06
0.0174 0.0205453  0.00250199 1.17848e-06
0.0175 0.020467  0.00252373 1.16947e-06
0.0176 0.0203888  0.0025456 1.16046e-06
0.0177 0.0203108  0.00256761 1.15145e-06
0.0178 0.020233  0.00258976 1.14244e-06
0.0179 0.0201553  0.00261204 1.13343e-06
0.018 0.0200777  0.00263447 1.12442e-06
0.0181 0.0200002  0.00265703 1.11541e-06
0.0182 0.0199229  0.00267974 1.1064e-06
0.0183 0.0198458  0.00270259 1.09739e-06
0.0184 0.0197688  0.00272558 1.08838e-06
0.0185 0.0196919  0.00274872 1.07937e-06
0.0186 0.0196152  0.002772 1.07036e-06
0.0187 0.0195386  0.00279544 1.06135e-06
0.0188 0.0194622  0.00281902 1.05234e-06
0.0189 0.0193859  0.00284275 1.04333e-06
