0.0001 0.035652  1.67216e-05 -1.96941e-11
0.0002 0.035566  3.06826e-05 -2.40598e-11
0.0003 0.035479  4.3698e-05 -1.76722e-11
0.0004 0.0353914  5.61553e-05 -2.20568e-11
0.0005 0.0353035  6.82324e-05 -2.41404e-11
0.0006 0.0352153  8.00308e-05 -2.26914e-11
0.0007 0.0351269  9.16159e-05 -1.67695e-11
0.0008 0.0350383  0.000103033 -1.06136e-11
0.0009 0.0349496  0.000114314 -1.2578e-11
0.001 0.0348608  0.000125486 -1.46073e-11
0.0011 0.0347718  0.000136566 -1.66748e-11
0.0012 0.0346829  0.000147572 -1.87574e-11
0.0013 0.0345938  0.000158517 -2.08344e-11
0.0014 0.0345047  0.00016941 -2.28868e-11
0.0015 0.0344155  0.000180261 -2.4897e-11
0.0016 0.0343264  0.000191077 -2.68486e-11
0.0017 0.0342371  0.000201867 -2.8726e-11
0.0018 0.0341479  0.000212634 -3.05144e-11
0.0019 0.0340587  0.000223385 -3.21999e-11
0.002 0.0339694  0.000234125 -3.37692e-11
0.0021 0.0338801  0.000244856 -3.52094e-11
0.0022 0.0337909  0.000255584 -3.65083e-11
0.0023 0.0337016  0.00026631 -3.76542e-11
0.0024 0.0336123  0.000277039 -3.86357e-11
0.0025 0.0335231  0.000287773 -3.94422e-11
0.0026 0.0334338  0.000298514 -4.00629e-11
0.0027 0.0333445  0.000309266 -4.04879e-11
0.0028 0.0332553  0.000320029 -4.07073e-11
0.0029 0.0331661  0.000330807 -4.07116e-11
0.003 0.0330769  0.000341601 -4.04918e-11
0.0031 0.0329877  0.000352412 -4.00387e-11
0.0032 0.0328985  0.000363243 -3.93439e-11
0.0033 0.0328094  0.000374095 -3.83989e-11
0.0034 0.0327202  0.00038497 -3.71955e-11
0.0035 0.0326311  0.000395868 -3.57258e-11
0.0036 0.0325421  0.000406791 -3.39819e-11
0.0037 0.032453  0.000417741 -3.19565e-11
0.0038 0.032364  0.000428719 -2.9642e-11
0.0039 0.032275  0.000439725 -2.70313e-11
0.004 0.032186  0.000450762 -2.41175e-11
0.0041 0.0320971  0.000461829 -2.08935e-11
0.0042 0.0320082  0.000472928 -1.73527e-11
0.0043 0.0319193  0.000484061 -1.34886e-11
0.0044 0.0318305  0.000495227 -9.29468e-12
0.0045 0.0317417  0.000506428 -4.76474e-12
0.0046 0.0316529  0.000517665 1.07414e-13
0.0047 0.0315642  0.000528939 4.24213e-13
0.0048 0.0314755  0.00054025 4.7809e-13
0.0049 0.0313869  0.0005516 5.33403e-13
0.005 0.0312983  0.000562988 5.9017e-13
0.0051 0.0312097  0.000574417 6.48405e-13
0.0052 0.0311212  0.000585886 7.0809e-13
0.0053 0.0310327  0.000597396 7.69235e-13
0.0054 0.0309442  0.000608949 8.31852e-13
0.0055 0.0308558  0.000620545 8.95936e-13
0.0056 0.0307675  0.000632184 9.61502e-13
0.0057 0.0306791  0.000643868 1.02853e-12
0.0058 0.0305909  0.000655596 1.09706e-12
0.0059 0.0305027  0.000667371 1.16707e-12
0.006 0.0304145  0.000679191 1.23856e-12
0.0061 0.0303263  0.000691059 1.31155e-12
0.0062 0.0302383  0.000702974 1.38603e-12
0.0063 0.0301502  0.000714938 1.46201e-12
0.0064 0.0300622  0.000726951 1.53948e-12
0.0065 0.0299743  0.000739013 1.61848e-12
0.0066 0.0298864  0.000751125 1.69897e-12
0.0067 0.0297986  0.000763289 1.78097e-12
0.0068 0.0297108  0.000775504 1.86448e-12
0.0069 0.0296231  0.000787771 1.9495e-12
0.007 0.0295354  0.000800091 2.03604e-12
0.0071 0.0294477  0.000812464 2.12411e-12
0.0072 0.0293602  0.000824891 2.21369e-12
0.0073 0.0292727  0.000837373 2.30481e-12
0.0074 0.0291852  0.00084991 2.39744e-12
0.0075 0.0290978  0.000862503 2.4916e-12
0.0076 0.0290104  0.000875153 2.5873e-12
0.0077 0.0289231  0.000887859 2.68452e-12
0.0078 0.0288359  0.000900623 2.7833e-12
0.0079 0.0287487  0.000913445 2.8836e-12
0.008 0.0286616  0.000926327 2.98544e-12
0.0081 0.0285745  0.000939267 3.08882e-12
0.0082 0.0284875  0.000952268 3.19375e-12
0.0083 0.0284006  0.000965329 3.30022e-12
0.0084 0.0283137  0.000978452 3.40824e-12
0.0085 0.0282269  0.000991637 3.51781e-12
0.0086 0.0281402  0.00100488 3.62893e-12
0.0087 0.0280535  0.00101819 3.74159e-12
0.0088 0.0279668  0.00103157 3.85582e-12
0.0089 0.0278803  0.00104501 3.9716e-12
0.009 0.0277938  0.00105851 4.08894e-12
0.0091 0.0277074  0.00107208 4.20784e-12
0.0092 0.027621  0.00108571 4.32829e-12
0.0093 0.0275347  0.00109941 4.45032e-12
0.0094 0.0274485  0.00111318 4.5739e-12
0.0095 0.0273623  0.00112702 4.69904e-12
0.0096 0.0272762  0.00114093 4.82576e-12
0.0097 0.0271902  0.0011549 4.95404e-12
0.0098 0.0271042  0.00116895 5.0839e-12
0.0099 0.0270183  0.00118306 5.21532e-12
0.01 0.0269325  0.00119725 5.34832e-12
0.0101 0.0268468  0.00121151 5.48288e-12
0.0102 0.0267611  0.00122584 5.61902e-12
0.0103 0.0266755  0.00124024 5.75674e-12
0.0104 0.02659  0.00125472 5.89603e-12
0.0105 0.0265046  0.00126927 6.03691e-12
0.0106 0.0264192  0.0012839 6.17936e-12
0.0107 0.0263339  0.00129861 6.32339e-12
0.0108 0.0262487  0.00131339 6.46901e-12
0.0109 0.0261635  0.00132824 6.6162e-12
0.011 0.0260785  0.00134318 6.76499e-12
0.0111 0.0259935  0.00135819 6.91535e-12
0.0112 0.0259086  0.00137328 7.0673e-12
0.0113 0.0258237  0.00138846 7.22085e-12
0.0114 0.025739  0.00140371 7.37597e-12
0.0115 0.0256543  0.00141904 7.53269e-12
0.0116 0.0255697  0.00143446 7.69099e-12
0.0117 0.0254852  0.00144996 7.85089e-12
0.0118 0.0254008  0.00146554 8.01238e-12
0.0119 0.0253165  0.00148121 8.17547e-12
0.012 0.0252322  0.00149696 8.34013e-12
0.0121 0.0251481  0.00151279 8.50641e-12
0.0122 0.025064  0.00152872 8.67427e-12
0.0123 0.02498  0.00154473 8.84374e-12
0.0124 0.0248961  0.00156082 9.0148e-12
0.0125 0.0248123  0.00157701 9.18745e-12
0.0126 0.0247286  0.00159328 9.36171e-12
0.0127 0.0246449  0.00160965 9.53756e-12
0.0128 0.0245614  0.00162611 9.71501e-12
0.0129 0.0244779  0.00164265 9.89408e-12
0.013 0.0243946  0.00165929 1.00747e-11
0.0131 0.0243113  0.00167603 1.0257e-11
0.0132 0.0242281  0.00169285 1.04409e-11
0.0133 0.0241451  0.00170977 1.06263e-11
0.0134 0.0240621  0.00172679 1.08134e-11
0.0135 0.0239792  0.0017439 1.10021e-11
0.0136 0.0238964  0.00176111 1.11924e-11
0.0137 0.0238137  0.00177842 1.13843e-11
0.0138 0.0237311  0.00179583 1.15778e-11
0.0139 0.0236486  0.00181333 1.17729e-11
0.014 0.0235662  0.00183094 1.19696e-11
0.0141 0.0234839  0.00184865 1.21679e-11
0.0142 0.0234017  0.00186646 1.23679e-11
0.0143 0.0233196  0.00188437 1.25694e-11
0.0144 0.0232377  0.00190238 1.27726e-11
0.0145 0.0231558  0.0019205 1.29773e-11
0.0146 0.023074  0.00193873 1.31837e-11
0.0147 0.0229923  0.00195706 1.33917e-11
0.0148 0.0229108  0.0019755 1.36013e-11
0.0149 0.0228293  0.00199405 1.38125e-11
0.015 0.022748  0.00201271 -3.87912e-11
0.0151 0.0226668  0.00203147 -3.8958e-11
0.0152 0.0225856  0.00205035 -3.91208e-11
0.0153 0.0225046  0.00206934 -3.92795e-11
0.0154 0.0224237  0.00208844 -3.94341e-11
0.0155 0.0223429  0.00210766 -3.95846e-11
0.0156 0.0222623  0.00212699 -3.97309e-11
0.0157 0.0221817  0.00214644 -3.9873e-11
0.0158 0.0221013  0.002166 -4.00109e-11
0.0159 0.022021  0.00218568 -4.01444e-11
0.016 0.0219408  0.00220548 -4.02736e-11
0.0161 0.0218607  0.00222539 -4.03984e-11
0.0162 0.0217807  0.00224543 -4.05189e-11
0.0163 0.0217009  0.00226559 -4.06348e-11
0.0164 0.0216212  0.00228587 -4.07463e-11
0.0165 0.0215416  0.00230628 -4.08533e-11
0.0166 0.0214621  0.00232681 -4.09557e-11
0.0167 0.0213827  0.00234746 -4.10534e-11
0.0168 0.0213035  0.00236825 -4.11466e-11
0.0169 0.0212244  0.00238915 -4.12351e-11
0.017 0.0211455  0.00241019 -4.13188e-11
0.0171 0.0210666  0.00243136 -4.13978e-11
0.0172 0.0209879  0.00245266 -4.1472e-11
0.0173 0.0209094  0.00247409 -4.15414e-11
0.0174 0.0208309  0.00249565 -4.16059e-11
0.0175 0.0207526  0.00251734 -4.16655e-11
0.0176 0.0206745  0.00253917 -4.17202e-11
0.0177 0.0205964  0.00256114 -4.17699e-11
0.0178 0.0205185  0.00258324 -4.18146e-11
0.0179 0.0204408  0.00260549 -4.18543e-11
0.018 0.0203631  0.00262787 -4.18889e-11
0.0181 0.0202857  0.00265039 -4.19184e-11
0.0182 0.0202083  0.00267305 -4.19427e-11
0.0183 0.0201311  0.00269586 -4.19619e-11
0.0184 0.0200541  0.00271881 -4.19758e-11
0.0185 0.0199772  0.00274191 -4.19845e-11
0.0186 0.0199004  0.00276515 -4.19879e-11
0.0187 0.0198238  0.00278854 -4.1986e-11
0.0188 0.0197474  0.00281208 -4.19787e-11
0.0189 0.019671  0.00283576 -4.1966e-11
0.019 0.0195949  0.0028596 -4.1948e-11
0.0191 0.0195189  0.00288359 -4.19244e-11
0.0192 0.019443  0.00290774 -4.18954e-11
